Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-1.194426E-06,1017.40,0,96.98, -,8.926488
0.05,8.165001,1017.10,7.761905,96.98, -,8.926488
0.10,13.6072,1016.90,12.95238,96.98, -,8.926488
0.15,21.77546,1016.60,20.71428,96.98, -,8.926488
0.20,29.944,1016.30,28.47619,96.98, -,8.926488
0.25,43.56313,1015.80,41.42857,96.98, -,8.926488
0.30,57.18769,1015.30,54.38095,96.98, -,8.926488
0.35,65.36471,1015.00,62.19048,96.98, -,8.926488
0.40,76.27155,1014.60,72.57143,96.98, -,8.926488
0.45,98.094,1013.80,93.33334,96.98, -,8.926488
0.50,111.7403,1013.30,106.3333,96.98, -,8.926488
0.55,125.3921,1012.80,119.3333,96.98, -,8.926488
0.60,141.7808,1012.20,134.9524,96.98, -,8.926488
0.65,166.3802,1011.30,158.381,96.98, -,8.926488
0.70,190.9957,1010.40,181.8095,96.98, -,8.926488
0.75,207.4176,1009.80,197.4286,96.98, -,8.926488
0.80,223.8457,1009.20,213.0952,96.98, -,8.926488
0.85,253.9866,1008.10,241.8095,96.98, -,8.926488
0.90,267.6954,1007.60,254.8571,96.98, -,8.926488
0.95,286.8957,1006.90,273.1429,96.98, -,8.926488
1.00,306.1083,1006.20,291.4286,96.98, -,8.926488
1.05,325.3319,1005.50,309.7143,96.98, -,8.926488
1.10,341.8169,1004.90,317.6667,96.98, -,8.926488
1.15,361.0605,1004.20,330.8095,96.98, -,8.926488
1.20,377.5645,1003.60,338.7619,96.98, -,8.926488
1.25,399.5805,1002.80,351.9524,96.98, -,8.926488
1.30,418.8568,1002.10,357.381,96.98, -,8.926488
1.35,435.3871,1001.50,360.1905,96.98, -,8.926488
1.40,451.9253,1000.90,368.1429,96.98, -,8.926488
1.45,471.2313,1000.20,376.1429,96.98, -,8.926488
1.50,490.5482,999.50,373.7619,96.98, -,8.926488
1.55,509.876,998.80,379.1905,96.98, -,8.926488
1.60,523.688,998.30,379.3333,96.98, -,8.926488
1.65,540.2693,997.70,379.5238,96.98, -,8.926488
1.70,556.8603,997.10,371.9048,96.98, -,8.926488
1.75,576.2241,996.40,366.9048,96.98, -,8.926488
1.80,590.0631,995.90,364.4762,96.98, -,8.926488
1.85,609.4475,995.20,367.2857,96.98, -,8.926488
1.90,626.0723,994.60,354.381,96.98, -,8.926488
1.95,642.7034,994.00,357.1905,96.98, -,8.926488
2.00,659.3427,993.40,354.7619,96.98, -,8.926488
2.05,675.9918,992.80,352.3333,96.98, -,8.926488
2.10,692.6474,992.20,349.9048,96.98, -,8.926488
2.15,709.3128,991.60,350.0476,96.98, -,8.926488
2.20,725.9847,991.00,347.5714,96.98, -,8.926488
2.25,742.6648,990.40,347.7619,96.98, -,8.926488
2.30,759.3547,989.80,342.7143,96.98, -,8.926488
2.35,776.0512,989.20,340.2381,96.98, -,8.926488
2.40,789.9717,988.70,337.7143,96.98, -,8.926488
2.45,806.6849,988.10,337.8571,96.98, -,8.926488
2.50,820.618,987.60,332.7619,96.98, -,8.926488
2.55,834.5568,987.10,327.6667,96.98, -,8.926488
2.60,851.2902,986.50,325.1905,96.98, -,8.926488
2.65,868.0319,985.90,328,96.98, -,8.926488
2.70,881.9902,985.40,325.4762,96.98, -,8.926488
2.75,895.9542,984.90,322.9524,96.98, -,8.926488
2.80,912.7196,984.30,320.4762,96.98, -,8.926488
2.85,929.4916,983.70,323.2381,96.98, -,8.926488
2.90,940.6786,983.30,315.4286,96.98, -,8.926488
2.95,957.4644,982.70,315.619,96.98, -,8.926488
3.00,968.6607,982.30,310.4286,96.98, -,8.926488
3.05,985.4603,981.70,310.5714,96.98, -,8.926488
3.10,996.6658,981.30,305.381,96.98, -,8.926488
3.15,1013.479,980.70,305.5238,96.98, -,8.926488
3.20,1024.694,980.30,300.3333,96.98, -,8.926488
3.25,1041.521,979.70,300.5238,96.98, -,8.926488
3.30,1052.745,979.30,295.2857,96.98, -,8.926488
3.35,1069.587,978.70,295.4286,96.98, -,8.926488
3.40,1080.82,978.30,290.2381,96.98, -,8.926488
3.45,1094.866,977.80,290.381,96.98, -,8.926488
3.50,1108.918,977.30,287.8571,96.98, -,8.945935
3.55,1122.976,976.80,287.9524,96.98, -,8.945935
3.60,1134.225,976.40,285.381,96.98, -,8.945935
3.65,1148.293,975.90,282.8095,96.98, -,8.945935
3.70,1159.553,975.50,277.5714,96.98, -,8.945935
3.75,1173.631,975.00,277.7143,96.98, -,8.945935
3.80,1187.716,974.50,277.8571,96.98, -,8.945935
3.85,1198.988,974.10,272.619,96.98, -,8.945935
3.90,1210.263,973.70,267.381,96.98, -,8.945935
3.95,1224.363,973.20,270.1429,96.98, -,8.945935
4.00,1235.647,972.80,264.9048,96.98, -,8.945935
4.05,1246.934,972.40,265,96.98, -,8.945935
4.10,1261.049,971.90,262.4286,96.98, -,8.945935
4.15,1272.346,971.50,262.5238,96.98, -,8.945935
4.20,1283.647,971.10,257.2857,96.98, -,8.945935
4.25,1297.777,970.60,260.0952,96.98, -,8.945935
4.30,1309.084,970.20,254.8095,96.98, -,8.945935
4.35,1320.397,969.80,254.9048,96.98, -,8.945935
4.40,1331.712,969.40,249.619,96.98, -,8.945935
4.45,1343.033,969.00,249.6667,96.98, -,8.945935
4.50,1354.357,968.60,247.0476,96.98, -,8.945935
4.55,1365.684,968.20,244.4762,96.98, -,8.945935
4.60,1374.181,967.90,239.1905,96.98, -,8.945935
4.65,1388.349,967.40,241.9524,96.98, -,8.945935
4.70,1396.854,967.10,236.6667,96.98, -,8.945935
4.75,1408.195,966.70,236.7619,96.98, -,8.945935
4.80,1419.541,966.30,234.1429,96.98, -,8.945935
4.85,1430.889,965.90,231.5238,96.98, -,8.945935
4.90,1439.405,965.60,228.9048,96.98, -,8.945935
4.95,1450.76,965.20,229,96.98, -,8.945935
5.00,1462.12,964.80,226.381,96.98, -,8.945935
5.05,1470.642,964.50,223.7143,96.98, -,8.945935
5.10,1482.01,964.10,223.7619,96.98, -,8.945935
5.15,1493.379,963.70,221.1429,96.98, -,8.945935
5.20,1501.909,963.40,218.5238,96.98, -,8.945935
5.25,1513.286,963.00,218.619,96.98, -,8.945935
5.30,1521.821,962.70,213.2857,96.98, -,8.945935
5.35,1530.358,962.40,210.6667,96.98, -,8.945935
5.40,1538.899,962.10,208.0476,96.98, -,8.945935
5.45,1550.287,961.70,208.1429,96.98, -,8.945935
5.50,1561.681,961.30,208.2381,96.98, -,8.945935
5.55,1570.228,961.00,205.619,96.98, -,8.945935
5.60,1578.777,960.70,202.9524,96.98, -,8.945935
5.65,1587.329,960.40,203,96.98, -,8.945935
5.70,1595.884,960.10,197.6667,96.98, -,8.945935
5.75,1607.291,959.70,200.4286,96.98, -,8.945935
5.80,1615.85,959.40,197.7619,96.98, -,8.945935
5.85,1624.412,959.10,195.0952,96.98, -,8.945935
5.90,1632.975,958.80,192.4286,96.98, -,8.945935
5.95,1641.541,958.50,192.4762,96.98, -,8.945935
6.00,1650.108,958.20,189.8095,96.98, -,8.945935
6.05,1658.677,957.90,187.1429,96.98, -,8.945935
6.10,1667.251,957.60,187.1905,96.98, -,8.945935
