Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages,Altitude (m)
0,540.2693,997.7,379.5238,96.98,-,8.926488,164.6660469
0.05,556.8603,997.1,371.9048,96.98,-,8.926488,169.722737
0.1,576.2241,996.4,366.9048,96.98,-,8.926488,175.6245352
0.15,590.0631,995.9,364.4762,96.98,-,8.926488,179.8424566
0.2,609.4475,995.2,367.2857,96.98,-,8.926488,185.7505334
0.25,626.0723,994.6,354.381,96.98,-,8.926488,190.8175251
0.3,642.7034,994,357.1905,96.98,-,8.926488,195.8864371
0.35,659.3427,993.4,354.7619,96.98,-,8.926488,200.9578482
0.4,675.9918,992.8,352.3333,96.98,-,8.926488,206.0322463
0.45,692.6474,992.2,349.9048,96.98,-,8.926488,211.1086254
0.5,709.3128,991.6,350.0476,96.98,-,8.926488,216.1879915
0.55,725.9847,991,347.5714,96.98,-,8.926488,221.2693386
0.6,742.6648,990.4,347.7619,96.98,-,8.926488,226.353185
0.65,759.3547,989.8,342.7143,96.98,-,8.926488,231.4400183
0.7,776.0512,989.2,340.2381,96.98,-,8.926488,236.5288632
0.75,789.9717,988.7,337.7143,96.98,-,8.926488,240.7716245
0.8,806.6849,988.1,337.8571,96.98,-,8.926488,245.8655593
0.85,820.618,987.6,332.7619,96.98,-,8.926488,250.1121609
0.9,834.5568,987.1,327.6667,96.98,-,8.926488,254.3604998
0.95,851.2902,986.5,325.1905,96.98,-,8.926488,259.4605913
1,868.0319,985.9,328,96.98,-,8.926488,264.5632124
1.05,881.9902,985.4,325.4762,96.98,-,8.926488,268.8174947
1.1,895.9542,984.9,322.9524,96.98,-,8.926488,273.0735142
1.15,912.7196,984.3,320.4762,96.98,-,8.926488,278.1833587
1.2,929.4916,983.7,323.2381,96.98,-,8.926488,283.2952149
1.25,940.6786,983.3,315.4286,96.98,-,8.926488,286.7048461
1.3,957.4644,982.7,315.619,96.98,-,8.926488,291.8209083
1.35,968.6607,982.3,310.4286,96.98,-,8.926488,295.233374
1.4,985.4603,981.7,310.5714,96.98,-,8.926488,300.3536422
1.45,996.6658,981.3,305.381,96.98,-,8.926488,303.7689119
